fid;DN;Longitud;Latitud
844;9;-6.90;43.29
845;5;-6.89;43.29
846;5;-6.78;43.29
849;4;-6.27;43.29
851;7;-6.00;43.29
852;7;-5.96;43.29
853;3;-5.89;43.29
854;4;-5.88;43.29
855;3;-5.87;43.29
856;4;-5.81;43.29
858;4;-5.75;43.29
859;4;-5.70;43.29
861;4;-5.42;43.29
864;3;-5.11;43.29
865;4;-5.11;43.29
868;7;-4.99;43.29
869;7;-4.91;43.29
870;2;-4.85;43.29
871;6;-4.82;43.29
872;7;-4.76;43.29
873;3;-4.72;43.29
874;9;-4.70;43.29
875;2;-4.62;43.29
876;6;-4.59;43.29
883;2;-3.21;43.29
884;4;-3.20;43.29
886;9;-1.87;43.29
888;12;-1.82;43.29
889;11;-1.78;43.29
891;9;-1.71;43.29
892;4;-1.50;43.29
893;4;-4.32;43.34
895;5;-6.85;43.31
896;6;-3.70;43.30
897;4;-3.16;43.29
899;2;-1.67;43.30
901;6;-5.84;43.29
902;4;-5.59;43.28
905;4;-5.07;43.28
906;3;-5.05;43.29
907;3;-4.95;43.28
908;7;-4.94;43.28
909;4;-4.14;43.29
910;4;-3.78;43.29
911;4;-2.96;43.28
912;4;-2.39;43.29
913;4;-2.14;43.29
914;4;-1.93;43.30
915;2;-1.72;43.28
916;2;-1.48;43.29
917;4;-7.79;43.28
919;13;-7.01;43.28
920;5;-6.96;43.28
921;9;-6.95;43.28
922;4;-6.35;43.28
923;6;-6.29;43.28
924;4;-6.28;43.28
925;6;-6.27;43.28
928;3;-5.98;43.28
929;3;-5.88;43.28
932;4;-5.71;43.28
933;4;-5.67;43.28
934;4;-5.62;43.28
940;4;-5.12;43.28
941;7;-5.11;43.28
942;3;-5.09;43.28
943;6;-5.02;43.28
944;4;-5.01;43.28
945;7;-4.86;43.28
946;2;-4.82;43.28
947;7;-4.81;43.28
948;3;-4.66;43.28
949;5;-4.62;43.28
950;7;-4.61;43.28
952;7;-4.43;43.28
953;7;-4.40;43.28
955;4;-3.73;43.28
956;6;-3.41;43.28
959;4;-3.01;43.28
960;4;-2.92;43.28
961;4;-2.77;43.28
962;4;-2.50;43.28
963;4;-1.90;43.28
964;9;-1.86;43.28
965;3;-1.82;43.28
966;12;-1.81;43.28
967;12;-1.74;43.28
969;9;-1.65;43.28
970;4;-1.46;43.28
971;6;-5.00;43.29
973;9;-6.91;43.31
974;10;-3.74;43.28
976;9;-3.07;43.29
977;4;-3.03;43.29
978;9;-7.02;43.28
981;6;-6.32;43.28
983;7;-5.90;43.28
984;7;-5.13;43.28
986;2;-4.59;43.28
987;3;-4.51;43.28
990;4;-3.43;43.28
991;4;-2.69;43.28
992;4;-2.64;43.28
993;9;-1.83;43.28
994;9;-1.68;43.28
995;4;-1.48;43.27
996;5;-1.45;43.28
998;5;-7.59;43.27
999;13;-7.00;43.27
1000;5;-6.94;43.28
